STOCK;PRODUCTOS;PRECIO;SIN IGV;;;
0;Protector auditivo wadfow;14.00;11.86;;;
0;Puntera;5.00;4.24;;;
0;Raspador truper;20.00;16.95;;;
0;Raspin;13.00;10.17;;;
0;Rastrillo rojo;20.00;16.95;;;
0;Recogedor eco;4.00;3.39;;;
0;Recogedor gaston dayr;7.00;5.08;;;
0;Recogedor grande;10.00;8.47;;;
0;Recogedor hude;9.00;7.63;;;
0;Recogedor metal;10.00;8.47;;;
0;Reducción 1 a 3/4;3.50;2.97;;;
0;Reducción 1a1/2 sr;4.00;3.39;;;
0;Reducción 1a3/4 sr;4.00;3.39;;;
0;Reduccion 2 11/4;2.50;2.12;;;
0;Reducción 3/4a1/2 sr;3.50;1.69;;;
0;Reducción 3a2;4.00;3.39;;;
0;Reduccion campana 3/4 1/2;2.00;1.27;;;
0;Reducción de 4a3;6.00;5.08;;;
0;Reducción excéntrica 3a2;4.00;3.39;;;
0;Reducción excéntrica 4a2;6.50;5.51;;;
0;Reducción excéntrica 4a3;5.50;4.66;;;
0;Registro 2;5.00;4.24;;;
0;Registro 3;9.00;7.63;;;
0;Registro 4;12.00;10.17;;;
0;Regulador gasper apn;13.00;11.02;;;
0;regulador gasper BPN;23.00;19.49;;;
0;Regulador solgas app;22.00;18.64;;;
